rms,peak,crest_factor,mean,std,fundamental_mag,h2_mag,h3_mag,h5_mag,h7_mag,thd,transient_score,label
0.6332861199320051,1.474068924410635,2.327650769558795,-2.1316282072803006e-17,0.6332861199320051,0.44021466543215304,0.015659563178956167,0.003181896043958352,0.008982548621199033,0.009955848065748037,0.057314750630991014,2.4594398511553432,TRANSIENT_EVENT
0.6565405507526082,1.222438616360332,1.86193924344661,1.4210854715202004e-17,0.6565405507526082,0.4547588664464775,0.003080575105817762,0.046330491162329054,0.017733463127120996,0.002403321452400766,0.11118189559195399,0.3022229414025973,HARMONIC_DISTORTION
0.7421012069100225,1.2705966465612868,1.7121608679924203,-1.4210854715202004e-17,0.7421012069100225,0.5189437625890103,0.004783611264062418,0.01973810239122662,0.004536064475376435,0.004162565866280188,0.04671040828027308,0.18509337869972659,NORMAL
1.2953917973631583,2.1988811260274326,1.6974641421254764,-5.684341886080802e-17,1.2953917973631583,0.9077915934061496,0.005898117340086364,0.09276875844891494,0.005598793802510682,0.007576841876905462,0.10377887024041245,0.34789811752154864,LEGITIMATE_HIGH_LOAD
0.7878050790337249,1.4041241427040598,1.7823243084777716,-1.4210854715202004e-17,0.7878050790337249,0.5430046766114305,0.0042665563481170815,0.04822948699042765,0.010404165398877506,0.006500963567240801,0.09353527635324224,0.31951264657749645,LEGITIMATE_HIGH_LOAD
0.882198044397336,1.5619462059350833,1.7705165136725165,-3.552713678800501e-17,0.882198044397336,0.5898084289947708,0.10633203858469344,0.012742721898822341,0.014620693742783469,0.025136147144439385,0.2935598636680082,0.3817461542086535,CONTROLLED_ANOMALOUS
0.8520474331709016,1.367964092170477,1.605502274773116,7.105427357601002e-18,0.8520474331709016,0.5863699870860233,0.004841582608547319,0.10527410556336747,0.06823313318870002,0.004688996408937148,0.21498616759366618,0.13327668909488083,HARMONIC_DISTORTION
1.2783687697917054,2.123006484876412,1.6607152294735188,1.4210854715202004e-17,1.2783687697917054,0.8956432023016629,0.0035334189813475596,0.004972548310336933,0.005472570635832863,0.005529475448002282,0.022469045799727225,0.15946814954128777,LEGITIMATE_HIGH_LOAD
0.7740763860755596,2.4606510543796105,3.178822011164438,0.0,0.7740763860755596,0.5308518401037744,0.026319028962361695,0.02339350999805825,0.007523841131248452,0.006369612755566122,0.08674435814132601,5.988319213415238,TRANSIENT_EVENT
0.4842468050904698,1.010211538430234,2.086150136275035,1.7763568394002505e-17,0.4842468050904698,0.31829029984070684,0.013234858134390447,0.03081475912449071,0.01790376593224056,0.018779439828923297,0.25465370727532716,0.3445499850359176,CONTROLLED_ANOMALOUS
